Initialization,Target_Month,Lead_Month,Stored_AUC,Current_source_recalculated_AUC
2001-10,2002-07,9,0.5357408209110918,0.5357408209110918
2001-11,2002-07,8,0.5270239942272392,0.5270239942272392
2001-11,2002-08,9,0.48879398175271255,0.48879398175271255
2001-12,2002-07,7,0.5640975522683193,0.5640975522683193
2001-12,2002-08,8,0.4922585360986727,0.4922585360986727
2001-12,2002-09,9,0.5614146825297585,0.5614146825297585
2002-01,2002-07,6,0.5191456224401696,0.5191456224401696
2002-01,2002-08,7,0.49799836860570385,0.49799836860570385
2002-01,2002-09,8,0.4922844157103335,0.4922844157103335
2002-01,2002-10,9,0.4161018232616912,0.4161018232616912
2002-02,2002-07,5,0.5368273757180178,0.5368273757180178
2002-02,2002-08,6,0.49498922675539503,0.49498922675539503
2002-02,2002-09,7,0.5985724810413138,0.5985724810413138
2002-02,2002-10,8,0.48710242292914724,0.48710242292914724
2002-02,2002-11,9,0.5641435289696946,0.5641435289696946
2002-03,2002-07,4,0.5827463507011572,0.5827463507011572
2002-03,2002-08,5,0.5142328049856535,0.5142328049856535
2002-03,2002-09,6,0.5865399509925054,0.5865399509925054
2002-03,2002-10,7,0.47801119009856313,0.47801119009856313
2002-03,2002-11,8,0.5778805026022422,0.5778805026022422
2002-03,2002-12,9,0.5893612996600701,0.5893612996600701
2002-04,2002-07,3,0.5790274300918212,0.5790274300918212
2002-04,2002-08,4,0.5838028446536141,0.5838028446536141
2002-04,2002-09,5,0.6008449049959571,0.6008449049959571
2002-04,2002-10,6,0.4708517907691031,0.4708517907691031
2002-04,2002-11,7,0.512484261537122,0.512484261537122
2002-04,2002-12,8,0.6093584999751305,0.6093584999751305
2002-04,2003-01,9,0.5133095502823422,0.5133095502823422
2002-05,2002-07,2,0.6120447045116119,0.6120447045116119
2002-05,2002-08,3,0.6189868681039615,0.6189868681039615
2002-05,2002-09,4,0.6361003323569543,0.6361003323569543
2002-05,2002-10,5,0.527892741502197,0.527892741502197
2002-05,2002-11,6,0.5877045611788897,0.5877045611788897
2002-05,2002-12,7,0.6799610656736187,0.6799610656736187
2002-05,2003-01,8,0.553678715408571,0.553678715408571
2002-05,2003-02,9,0.5856715253135554,0.5856715253135554
2002-06,2002-07,1,0.7197092355682373,0.7197092355682373
2002-06,2002-08,2,0.6726074718230015,0.6726074718230015
2002-06,2002-09,3,0.6285899424484866,0.6285899424484866
2002-06,2002-10,4,0.561848540750937,0.561848540750937
2002-06,2002-11,5,0.5877282834729352,0.5877282834729352
2002-06,2002-12,6,0.687859038537759,0.687859038537759
2002-06,2003-01,7,0.5870761628554283,0.5870761628554283
2002-06,2003-02,8,0.6202452767012651,0.6202452767012651
2002-06,2003-03,9,0.5547324361838826,0.5547324361838826
2002-07,2002-08,1,0.736612457894742,0.736612457894742
2002-07,2002-09,2,0.6899286106399588,0.6899286106399588
2002-07,2002-10,3,0.5771713674392333,0.5771713674392333
2002-07,2002-11,4,0.6516614650630159,0.6516614650630159
2002-07,2002-12,5,0.7042281886982497,0.7042281886982497
2002-07,2003-01,6,0.5708852329405455,0.5708852329405455
2002-07,2003-02,7,0.6151055954310928,0.6151055954310928
2002-07,2003-03,8,0.5283139557055048,0.5283139557055048
2002-07,2003-04,9,0.5497431990824841,0.5497431990824841
2002-08,2002-09,1,0.6908544717018115,0.6908544717018115
2002-08,2002-10,2,0.6108940207797762,0.6108940207797762
2002-08,2002-11,3,0.7241381167482616,0.7241381167482616
2002-08,2002-12,4,0.7145570595387502,0.7145570595387502
2002-08,2003-01,5,0.6309847293047446,0.6309847293047446
2002-08,2003-02,6,0.6722999744699302,0.6722999744699302
2002-08,2003-03,7,0.5741224838764022,0.5741224838764022
2002-08,2003-04,8,0.566441323197612,0.566441323197612
2002-08,2003-05,9,0.49457484024350934,0.49457484024350934
2002-09,2002-10,1,0.6846112462765076,0.6846112462765076
2002-09,2002-11,2,0.7371849492962022,0.7371849492962022
2002-09,2002-12,3,0.7019354198936064,0.7019354198936064
2002-09,2003-01,4,0.591526715524471,0.591526715524471
2002-09,2003-02,5,0.6481054457739263,0.6481054457739263
2002-09,2003-03,6,0.5630856742162278,0.5630856742162278
2002-09,2003-04,7,0.5497068853774609,0.5497068853774609
2002-09,2003-05,8,0.47032145679645365,0.47032145679645365
2002-09,2003-06,9,0.6022857084499385,0.6022857084499385
2002-10,2002-11,1,0.7829190659933378,0.7829190659933378
2002-10,2002-12,2,0.7453320013865419,0.7453320013865419
2002-10,2003-01,3,0.6050709772064186,0.6050709772064186
2002-10,2003-02,4,0.6505241864107831,0.6505241864107831
2002-10,2003-03,5,0.5738401483642267,0.5738401483642267
2002-10,2003-04,6,0.5841750923856155,0.5841750923856155
2002-10,2003-05,7,0.4765315289364132,0.4765315289364132
2002-10,2003-06,8,0.5906838142616608,0.5906838142616608
2002-11,2002-12,1,0.781447465907789,0.781447465907789
2002-11,2003-01,2,0.6322294270638437,0.6322294270638437
2002-11,2003-02,3,0.7108964989535121,0.7108964989535121
2002-11,2003-03,4,0.5840270540400934,0.5840270540400934
2002-11,2003-04,5,0.587240430517702,0.587240430517702
2002-11,2003-05,6,0.5097172581923247,0.5097172581923247
2002-11,2003-06,7,0.6288820560158703,0.6288820560158703
2002-12,2003-01,1,0.6888358540139972,0.6888358540139972
2002-12,2003-02,2,0.7357321771943655,0.7357321771943655
2002-12,2003-03,3,0.6114424455574745,0.6114424455574745
2002-12,2003-04,4,0.6049901720499313,0.6049901720499313
2002-12,2003-05,5,0.5421236815156811,0.5421236815156811
2002-12,2003-06,6,0.6384388468213641,0.6384388468213641
2003-01,2003-02,1,0.7712143475141837,0.7712143475141837
2003-01,2003-03,2,0.6594553048321972,0.6594553048321972
2003-01,2003-04,3,0.6786995644554497,0.6786995644554497
2003-01,2003-05,4,0.5803502221771402,0.5803502221771402
2003-01,2003-06,5,0.6426572198547638,0.6426572198547638
2003-02,2003-03,1,0.734926136074941,0.734926136074941
2003-02,2003-04,2,0.7334351619595505,0.7334351619595505
2003-02,2003-05,3,0.6420259781229515,0.6420259781229515
2003-02,2003-06,4,0.6569799039425928,0.6569799039425928
2003-03,2003-04,1,0.7584910186978446,0.7584910186978446
2003-03,2003-05,2,0.6529263951149731,0.6529263951149731
2003-03,2003-06,3,0.7060075080260755,0.7060075080260755
2003-04,2003-05,1,0.6628552929027224,0.6628552929027224
2003-04,2003-06,2,0.6325916704174684,0.6325916704174684
2003-05,2003-06,1,0.6948738141297309,0.6948738141297309
