Initialization,Target_Month,Lead_Month,AUC,SEDI,RMSE
2002-06,2002-07,1,0.7197092355682373,0.3706589778698799,0.2454885095357895
2002-05,2002-07,2,0.6120447045116119,0.17666667212993445,0.26452019810676575
2002-04,2002-07,3,0.5790274300918212,0.07701260450670247,0.26701974868774414
2002-03,2002-07,4,0.5827463507011572,0.02749216193709407,0.2668975591659546
2002-02,2002-07,5,0.5368273757180178,-0.006984681764104531,0.26742154359817505
2002-01,2002-07,6,0.5191456224401696,-0.019456653794624894,0.2681994140148163
2001-12,2002-07,7,0.5640975522683193,0.04745420929773002,0.2660190761089325
2001-11,2002-07,8,0.5270239942272392,0.023191477057009493,0.26624441146850586
2001-10,2002-07,9,0.5357408209110918,-0.07629410726831883,0.2674635052680969
2002-07,2002-08,1,0.736612457894742,0.46294024369388903,0.2903890609741211
2002-06,2002-08,2,0.6726074718230015,0.3719102737627965,0.18261148035526276
2002-05,2002-08,3,0.6189868681039615,0.2096666830769027,0.1797589808702469
2002-04,2002-08,4,0.5838028446536141,0.03143642492386486,0.1844346523284912
2002-03,2002-08,5,0.5142328049856535,-0.053294922645382124,0.1842428594827652
2002-02,2002-08,6,0.49498922675539503,-0.007946850576383132,0.18441729247570038
2002-01,2002-08,7,0.49799836860570385,-0.08727572115784986,0.18502719700336456
2001-12,2002-08,8,0.4922585360986727,0.06218207212461386,0.1798197478055954
2001-11,2002-08,9,0.48879398175271255,0.01570935122274817,0.1821490377187729
2002-08,2002-09,1,0.6908544717018115,0.341960552055318,0.23821765184402466
2002-07,2002-09,2,0.6899286106399588,0.2974308580607699,0.3608606159687042
2002-06,2002-09,3,0.6285899424484866,0.21825395340855233,0.21043187379837036
2002-05,2002-09,4,0.6361003323569543,0.21412404724106213,0.19460280239582062
2002-04,2002-09,5,0.6008449049959571,0.058418023679099505,0.18455319106578827
2002-03,2002-09,6,0.5865399509925054,0.16368486712178207,0.17116832733154297
2002-02,2002-09,7,0.5985724810413138,0.1758389294331406,0.1818050891160965
2002-01,2002-09,8,0.4922844157103335,-0.08312503602990995,0.18923532962799072
2001-12,2002-09,9,0.5614146825297585,0.0388231714502421,0.18718299269676208
2002-09,2002-10,1,0.6846112462765076,0.314939572234397,0.336671382188797
2002-08,2002-10,2,0.6108940207797762,0.13415283712048479,0.37508082389831543
2002-07,2002-10,3,0.5771713674392333,0.07508988069848181,0.3955327868461609
2002-06,2002-10,4,0.561848540750937,0.024059310797600722,0.3234405219554901
2002-05,2002-10,5,0.527892741502197,0.026855184197288655,0.3041878640651703
2002-04,2002-10,6,0.4708517907691031,-0.10331529418159922,0.27887383103370667
2002-03,2002-10,7,0.47801119009856313,-0.05325249856238995,0.2827053666114807
2002-02,2002-10,8,0.48710242292914724,-0.04419994530494413,0.28807008266448975
2002-01,2002-10,9,0.4161018232616912,-0.1507303914121908,0.2786479890346527
2002-10,2002-11,1,0.7829190659933378,0.5246565114911587,0.32771503925323486
2002-09,2002-11,2,0.7371849492962022,0.4470967443541657,0.32458826899528503
2002-08,2002-11,3,0.7241381167482616,0.43232012489766336,0.3732150197029114
2002-07,2002-11,4,0.6516614650630159,0.24590056149192022,0.3545985519886017
2002-06,2002-11,5,0.5877282834729352,0.1428423726085879,0.27113834023475647
2002-05,2002-11,6,0.5877045611788897,0.22663366480847646,0.2522463798522949
2002-04,2002-11,7,0.512484261537122,0.03445854212135663,0.23578858375549316
2002-03,2002-11,8,0.5778805026022422,0.12705712459797275,0.23382732272148132
2002-02,2002-11,9,0.5641435289696946,0.19551546165391806,0.23924334347248077
2002-11,2002-12,1,0.781447465907789,0.5265809147087336,0.2962493598461151
2002-10,2002-12,2,0.7453320013865419,0.35189818123711475,0.2941824197769165
2002-09,2002-12,3,0.7019354198936064,0.3097570911340806,0.2910761535167694
2002-08,2002-12,4,0.7145570595387502,0.35979344305939903,0.3186653256416321
2002-07,2002-12,5,0.7042281886982497,0.32438018589089934,0.41251513361930847
2002-06,2002-12,6,0.687859038537759,0.3315103643005751,0.3112412989139557
2002-05,2002-12,7,0.6799610656736187,0.31673725650187273,0.28104764223098755
2002-04,2002-12,8,0.6093584999751305,0.1753448827859419,0.23454850912094116
2002-03,2002-12,9,0.5893612996600701,0.13830935364072186,0.23741599917411804
2002-12,2003-01,1,0.6888358540139972,0.28905995519928807,0.2888907194137573
2002-11,2003-01,2,0.6322294270638437,0.0891667228542592,0.3192373812198639
2002-10,2003-01,3,0.6050709772064186,0.13002262108074433,0.28723254799842834
2002-09,2003-01,4,0.591526715524471,0.011357157869794373,0.2885308265686035
2002-08,2003-01,5,0.6309847293047446,0.1823724290859228,0.2853333055973053
2002-07,2003-01,6,0.5708852329405455,0.01692989098647983,0.2949010729789734
2002-06,2003-01,7,0.5870761628554283,0.05636770504111503,0.2860378324985504
2002-05,2003-01,8,0.553678715408571,-0.027235122480994255,0.291528582572937
2002-04,2003-01,9,0.5133095502823422,-0.173968853396375,0.29606184363365173
2003-01,2003-02,1,0.7712143475141837,0.43866013645292984,0.1947982758283615
2002-12,2003-02,2,0.7357321771943655,0.3608950947130475,0.2125234752893448
2002-11,2003-02,3,0.7108964989535121,0.24919046608429637,0.26648491621017456
2002-10,2003-02,4,0.6505241864107831,0.20601703190688334,0.21378153562545776
2002-09,2003-02,5,0.6481054457739263,0.13361325984222805,0.21658673882484436
2002-08,2003-02,6,0.6722999744699302,0.21446977799592323,0.2609853446483612
2002-07,2003-02,7,0.6151055954310928,0.16339986765627834,0.25356030464172363
2002-06,2003-02,8,0.6202452767012651,0.1545458154604081,0.22355487942695618
2002-05,2003-02,9,0.5856715253135554,0.1554861869969785,0.2081097662448883
2003-02,2003-03,1,0.734926136074941,0.4372579536102124,0.2419361025094986
2003-01,2003-03,2,0.6594553048321972,0.2057108783855193,0.26437777280807495
2002-12,2003-03,3,0.6114424455574745,0.11288707453540793,0.27053049206733704
2002-11,2003-03,4,0.5840270540400934,0.07877753840790079,0.3000883460044861
2002-10,2003-03,5,0.5738401483642267,0.07520861580351774,0.2825222313404083
2002-09,2003-03,6,0.5630856742162278,0.02016772240689312,0.28553667664527893
2002-08,2003-03,7,0.5741224838764022,0.013113974352222108,0.29920530319213867
2002-07,2003-03,8,0.5283139557055048,-0.08306182597958613,0.30708378553390503
2002-06,2003-03,9,0.5547324361838826,-0.00873943644431057,0.28283363580703735
2003-03,2003-04,1,0.7584910186978446,0.4840537989777086,0.2795701026916504
2003-02,2003-04,2,0.7334351619595505,0.439439547858059,0.20288507640361786
2003-01,2003-04,3,0.6786995644554497,0.29374905833175036,0.16471323370933533
2002-12,2003-04,4,0.6049901720499313,0.11032205349476379,0.17659731209278107
2002-11,2003-04,5,0.587240430517702,0.09454064866191599,0.19774644076824188
2002-10,2003-04,6,0.5841750923856155,0.06515736440518405,0.19216544926166534
2002-09,2003-04,7,0.5497068853774609,0.0006089454366372341,0.19906136393547058
2002-08,2003-04,8,0.566441323197612,0.05180911125351154,0.21363435685634613
2002-07,2003-04,9,0.5497431990824841,-0.055024255108528965,0.18631817400455475
2003-04,2003-05,1,0.6628552929027224,0.19865050693058534,0.24273255467414856
2003-03,2003-05,2,0.6529263951149731,0.18573371872037867,0.2401692420244217
2003-02,2003-05,3,0.6420259781229515,0.19798156422997,0.23209969699382782
2003-01,2003-05,4,0.5803502221771402,-0.016624790289944142,0.24814994633197784
2002-12,2003-05,5,0.5421236815156811,-0.12407724654087626,0.2531951367855072
