time,AUC,leads,Nino34
1991-01-01,0.6638884546182866,9,0.49
1991-02-01,0.579340826783468,9,0.32
1991-03-01,0.6844462041731756,9,0.03
1991-04-01,0.5903267705177105,9,0.19
1991-05-01,0.6788152694259146,9,0.26
1991-06-01,0.5752207450199502,9,0.52
1991-07-01,0.5268451802744517,9,0.76
1991-08-01,0.5503455902516267,9,0.68
1991-09-01,0.5815986821378717,9,0.42
1991-10-01,0.5800535601078697,9,0.86
1991-11-01,0.6055762226362893,9,1.2
1991-12-01,0.741612337824583,9,1.69
1992-01-01,0.7593381766762373,9,1.84
1992-02-01,0.7756756894102401,9,1.78
1992-03-01,0.7542052724986202,9,1.38
1992-04-01,0.8047378969609206,9,1.2
1992-05-01,0.7049800584644618,9,1.04
1992-06-01,0.6812557363599331,9,0.58
1992-07-01,0.6862065230223249,9,0.22
1992-08-01,0.6481320263515848,9,0.05
1992-09-01,0.5839630869555795,9,-0.06
1992-10-01,0.6364104183938368,9,-0.3
1992-11-01,0.6545316937899165,9,-0.28
1992-12-01,0.6408321018302354,9,-0.15
1993-01-01,0.7097434196178023,9,0.14
1993-02-01,0.7787198208927938,9,0.41
1993-03-01,0.6978723492612754,9,0.39
1993-04-01,0.6277586363471604,9,0.59
1993-05-01,0.6583003799028828,9,0.78
1993-06-01,0.6342882116976265,9,0.35
1993-07-01,0.5389032966744014,9,0.23
1993-08-01,0.5070604300167256,9,0.13
1993-09-01,0.5986934420149059,9,0.35
1993-10-01,0.6181388956889113,9,0.06
1993-11-01,0.6293255552716024,9,0.0
1993-12-01,0.705546438960823,9,0.16
1994-01-01,0.6011606297297305,9,0.1
1994-02-01,0.6619321598508656,9,0.06
1994-03-01,0.6960052891377442,9,0.11
1994-04-01,0.7227673858858417,9,0.26
1994-05-01,0.575446357744945,9,0.31
1994-06-01,0.6545641723903797,9,0.32
1994-07-01,0.5962310117591345,9,0.24
1994-08-01,0.6169166985041552,9,0.53
1994-09-01,0.6031087076371059,9,0.48
1994-10-01,0.5936015145025467,9,0.75
1994-11-01,0.5435900570094827,9,1.11
1994-12-01,0.6182295185894091,9,1.25
1995-01-01,0.6422206342104282,9,1.02
1995-02-01,0.588748339303743,9,0.73
1995-03-01,0.5940968349872335,9,0.46
1995-04-01,0.6012808575820604,9,0.28
1995-05-01,0.5725574012112616,9,-0.11
1995-06-01,0.6351225848338365,9,-0.14
1995-07-01,0.6126373269794297,9,-0.21
1995-08-01,0.609378933931173,9,-0.63
1995-09-01,0.5827224528132269,9,-0.84
1995-10-01,0.5474567093291295,9,-0.88
1995-11-01,0.5909269483494137,9,-1.1
1995-12-01,0.6590774344731181,9,-0.95
1996-01-01,0.5963461929133106,9,-0.86
1996-02-01,0.6338470896755846,9,-0.86
1996-03-01,0.7064988063043162,9,-0.61
1996-04-01,0.6951868754967183,9,-0.47
1996-05-01,0.6465946033294038,9,-0.38
1996-06-01,0.6062967433229557,9,-0.44
1996-07-01,0.5804551293153966,9,-0.44
1996-08-01,0.5959935948411528,9,-0.22
1996-09-01,0.6500856167322808,9,-0.45
1996-10-01,0.6170939883706722,9,-0.44
1996-11-01,0.6966398132365222,9,-0.41
1996-12-01,0.6982368903725789,9,-0.64
1997-01-01,0.6530346143415299,9,-0.53
1997-02-01,0.6360092367742329,9,-0.37
1997-03-01,0.651127152753893,9,-0.25
1997-04-01,0.6846080457969236,9,0.16
1997-05-01,0.7047081121717257,9,0.64
1997-06-01,0.7040085990094176,9,1.09
1997-07-01,0.7375654055389689,9,1.56
1997-08-01,0.7951871088936262,9,1.89
1997-09-01,0.8014468960352297,9,2.13
1997-10-01,0.8264726787592228,9,2.36
1997-11-01,0.8497579655429965,9,2.41
1997-12-01,0.8404684156701631,9,2.29
1998-01-01,0.8452571947825247,9,2.38
1998-02-01,0.8121389745146244,9,2.03
1998-03-01,0.8293946754162556,9,1.34
1998-04-01,0.8027187908018232,9,0.78
1998-05-01,0.7643312501167685,9,0.57
1998-06-01,0.7025145909810799,9,-0.39
1998-07-01,0.6832152670563972,9,-0.99
1998-08-01,0.6795333778591783,9,-1.28
1998-09-01,0.6872367887313355,9,-1.26
1998-10-01,0.7200872757957318,9,-1.46
1998-11-01,0.7045657860780831,9,-1.46
1998-12-01,0.6363789421211058,9,-1.69
1999-01-01,0.6243183853752392,9,-1.69
1999-02-01,0.6220348766886276,9,-1.32
1999-03-01,0.591902756978383,9,-0.95
1999-04-01,0.5808430019967046,9,-1.11
1999-05-01,0.5720425453547843,9,-1.15
1999-06-01,0.554420036344426,9,-1.19
1999-07-01,0.5958465793686125,9,-1.17
1999-08-01,0.6426309113904806,9,-1.22
1999-09-01,0.5170639678455302,9,-1.09
1999-10-01,0.5199467562767883,9,-1.23
1999-11-01,0.5318283034012742,9,-1.58
1999-12-01,0.5692702712932338,9,-1.74
2000-01-01,0.6009612730025711,9,-1.77
2000-02-01,0.6018529726181698,9,-1.55
2000-03-01,0.5754070198855977,9,-0.98
2000-04-01,0.565245596033525,9,-0.87
2000-05-01,0.5025034543796477,9,-0.86
2000-06-01,0.40167304901194395,9,-0.79
2000-07-01,0.48573359885934536,9,-0.67
2000-08-01,0.4401726697480605,9,-0.49
2000-09-01,0.41962546928076655,9,-0.52
2000-10-01,0.4377416653899214,9,-0.7
2000-11-01,0.41328645173385514,9,-0.79
2000-12-01,0.457665192177391,9,-0.92
2001-01-01,0.4590992531866777,9,-0.73
2001-02-01,0.460143607315698,9,-0.63
2001-03-01,0.4941663228460594,9,-0.48
2001-04-01,0.506091823511581,9,-0.49
2001-05-01,0.40823791030233303,9,-0.34
2001-06-01,0.4460302359619424,9,-0.19
2001-07-01,0.40788176998300657,9,-0.04
2001-08-01,0.4907736856080309,9,-0.05
2001-09-01,0.45981295633687125,9,-0.2
2001-10-01,0.4789063197828855,9,-0.14
2001-11-01,0.515141205409638,9,-0.37
2001-12-01,0.553853812666709,9,-0.41
2002-01-01,0.5706767626217828,9,-0.15
2002-02-01,0.5437459588499955,9,-0.04
2002-03-01,0.6339475147700939,9,0.01
2002-04-01,0.6009718492326077,9,0.02
2002-05-01,0.5489449038102944,9,0.31
2002-06-01,0.5234118495520449,9,0.72
2002-07-01,0.5751514540486294,9,0.74
2002-08-01,0.5666980622970508,9,0.87
2002-09-01,0.6094588658241199,9,1.09
2002-10-01,0.5349427937563507,9,1.25
2002-11-01,0.636204970540189,9,1.47
2002-12-01,0.6904488932523907,9,1.37
2003-01-01,0.5970663738444846,9,0.6
2003-02-01,0.6677550030847349,9,0.64
2003-03-01,0.59821618209455,9,0.36
2003-04-01,0.6236580941915167,9,-0.14
2003-05-01,0.559047406000241,9,-0.61
2003-06-01,0.643711171324385,9,-0.29
2003-07-01,0.5644036819112989,9,0.21
2003-08-01,0.6476885721508325,9,0.26
2003-09-01,0.5774237830186861,9,0.27
2003-10-01,0.6159679283855307,9,0.42
2003-11-01,0.6108647178763957,9,0.33
2003-12-01,0.562121584031324,9,0.43
2004-01-01,0.5389082710220862,9,0.27
2004-02-01,0.47989417668155787,9,0.23
2004-03-01,0.5566548061462023,9,0.12
2004-04-01,0.47834470988616307,9,0.07
2004-05-01,0.4707339696450163,9,0.06
2004-06-01,0.5795127307105145,9,0.13
2004-07-01,0.6257273362329296,9,0.49
2004-08-01,0.5373225265840658,9,0.76
2004-09-01,0.5658050911247505,9,0.81
2004-10-01,0.5515293121355989,9,0.73
2004-11-01,0.5776869034164243,9,0.66
2004-12-01,0.5975405849953448,9,0.74
2005-01-01,0.5196569582862427,9,0.66
2005-02-01,0.5136176865713885,9,0.36
2005-03-01,0.5838647633331354,9,0.45
2005-04-01,0.6096785412754673,9,0.26
2005-05-01,0.6504506516965408,9,0.3
2005-06-01,0.5979043903041986,9,0.04
2005-07-01,0.5983537124561358,9,-0.23
2005-08-01,0.5452102946350299,9,-0.05
2005-09-01,0.5376528863225799,9,-0.04
2005-10-01,0.5220100065253079,9,-0.06
2005-11-01,0.4869572535921136,9,-0.59
2005-12-01,0.5359856299482254,9,-0.92
2006-01-01,0.5481364826532278,9,-0.91
2006-02-01,0.5388661689656911,9,-0.67
2006-03-01,0.5326037517070311,9,-0.71
2006-04-01,0.5433893503878053,9,-0.32
2006-05-01,0.5051834665997021,9,-0.09
2006-06-01,0.5810912510619047,9,0.0
2006-07-01,0.5283326821506198,9,0.01
2006-08-01,0.5976494860044363,9,0.31
2006-09-01,0.5987864022630841,9,0.6
2006-10-01,0.7110751833295208,9,0.7
2006-11-01,0.6005300774273734,9,0.99
2006-12-01,0.6588840342802975,9,1.14
2007-01-01,0.5805110080086399,9,0.7
2007-02-01,0.5995045501935501,9,0.13
2007-03-01,0.512864773072871,9,-0.18
2007-04-01,0.594623697350309,9,-0.32
2007-05-01,0.5418038353502407,9,-0.47
2007-06-01,0.45385712816288304,9,-0.35
2007-07-01,0.5574510361109535,9,-0.59
2007-08-01,0.6046059315023758,9,-0.72
2007-09-01,0.6927838672082571,9,-1.11
2007-10-01,0.4981808663639247,9,-1.39
2007-11-01,0.5439048341239519,9,-1.54
2007-12-01,0.5102718620821302,9,-1.58
2008-01-01,0.5439526181984146,9,-1.68
2008-02-01,0.5565692112047874,9,-1.67
2008-03-01,0.573085223562531,9,-1.21
2008-04-01,0.5812024649232812,9,-0.99
2008-05-01,0.6271092073380752,9,-0.84
2008-06-01,0.687168243822247,9,-0.68
2008-07-01,0.5926771507571434,9,-0.3
2008-08-01,0.5846102263815632,9,-0.13
2008-09-01,0.5224379304138513,9,-0.25
2008-10-01,0.41345402615033466,9,-0.35
2008-11-01,0.458668024220782,9,-0.46
2008-12-01,0.5237901208508092,9,-0.86
2009-01-01,0.4900056214909401,9,-0.89
2009-02-01,0.46187310191771885,9,-0.79
2009-03-01,0.5273727510845743,9,-0.69
2009-04-01,0.5578936656329366,9,-0.35
2009-05-01,0.6026028476703026,9,0.06
2009-06-01,0.5598229047906926,9,0.31
2009-07-01,0.5657986882851136,9,0.48
2009-08-01,0.6300732247906237,9,0.56
2009-09-01,0.7443074641756512,9,0.68
2009-10-01,0.7245580440312571,9,0.89
2009-11-01,0.7017772899570579,9,1.46
2009-12-01,0.7451627658164688,9,1.74
2010-01-01,0.7044965015638561,9,1.52
2010-02-01,0.6421420491680387,9,1.25
2010-03-01,0.687077957223435,9,0.9
2010-04-01,0.6824712223238971,9,0.38
2010-05-01,0.6802258047063895,9,-0.22
2010-06-01,0.6138844711278034,9,-0.69
2010-07-01,0.6305321560640136,9,-1.07
2010-08-01,0.62656616675166,9,-1.39
2010-09-01,0.6185742751122858,9,-1.6
2010-10-01,0.6696135235850799,9,-1.69
2010-11-01,0.697899272407223,9,-1.64
2010-12-01,0.7060570261255885,9,-1.6
2011-01-01,0.6895015027089721,9,-1.54
2011-02-01,0.7667983748077072,9,-1.11
2011-03-01,0.7678636971701921,9,-0.93
2011-04-01,0.7531565433344666,9,-0.77
2011-05-01,0.6740696709578027,9,-0.52
2011-06-01,0.602819265243795,9,-0.38
2011-07-01,0.6233495309159797,9,-0.43
2011-08-01,0.5344632495366805,9,-0.65
2011-09-01,0.5190846948308532,9,-0.8
2011-10-01,0.5597307463876058,9,-1.05
2011-11-01,0.5843924585762139,9,-1.19
2011-12-01,0.5845454361615752,9,-1.06
2012-01-01,0.5899933289909646,9,-0.87
2012-02-01,0.5838193541049813,9,-0.67
2012-03-01,0.5857250035915257,9,-0.61
2012-04-01,0.5833645117814822,9,-0.5
2012-05-01,0.6578277193894421,9,-0.32
2012-06-01,0.5386971039061119,9,0.02
2012-07-01,0.5572688933241766,9,0.25
2012-08-01,0.49529072315261213,9,0.47
2012-09-01,0.505974348779126,9,0.38
2012-10-01,0.5266370677847481,9,0.26
2012-11-01,0.45681829171279176,9,0.16
2012-12-01,0.4676155745103469,9,-0.25
2013-01-01,0.6249901752435434,9,-0.53
2013-02-01,0.5724464225655066,9,-0.52
2013-03-01,0.5619397712376584,9,-0.25
2013-04-01,0.5736980235584882,9,-0.25
2013-05-01,0.5532368700862866,9,-0.4
2013-06-01,0.5054123404329925,9,-0.42
2013-07-01,0.5296646644730596,9,-0.39
2013-08-01,0.49193534171703185,9,-0.38
2013-09-01,0.48495142266820007,9,-0.18
2013-10-01,0.5261243262839744,9,-0.2
2013-11-01,0.5497977159898336,9,-0.14
2013-12-01,0.5334160964546472,9,-0.17
2014-01-01,0.4699065779381487,9,-0.49
2014-02-01,0.5043727093935304,9,-0.62
2014-03-01,0.5111571544968811,9,-0.28
2014-04-01,0.5451141396056044,9,0.08
2014-05-01,0.6084844521378249,9,0.32
2014-06-01,0.6786003488579323,9,0.23
2014-07-01,0.662531840658321,9,-0.06
2014-08-01,0.5944294393640726,9,-0.03
2014-09-01,0.5675121338809386,9,0.29
2014-10-01,0.6035969054530214,9,0.44
2014-11-01,0.6175352120299795,9,0.75
2014-12-01,0.5151853048724832,9,0.71
2015-01-01,0.539462571178528,9,0.51
2015-02-01,0.5752048721213134,9,0.42
2015-03-01,0.6144884992101175,9,0.47
2015-04-01,0.6485042272957442,9,0.7
2015-05-01,0.6964190555054708,9,0.92
2015-06-01,0.7508737029471426,9,1.18
2015-07-01,0.7424876825041532,9,1.46
2015-08-01,0.7316849794442964,9,1.93
2015-09-01,0.769429602881639,9,2.21
2015-10-01,0.7668316019615172,9,2.36
2015-11-01,0.7929589229558967,9,2.72
2015-12-01,0.7657629994519396,9,2.66
2016-01-01,0.7795573920142735,9,2.57
2016-02-01,0.7618201344837912,9,2.26
2016-03-01,0.7433725059801427,9,1.62
2016-04-01,0.7361000556715641,9,0.91
2016-05-01,0.716822043486868,9,0.3
2016-06-01,0.7189833405456344,9,-0.03
2016-07-01,0.6778537195643436,9,-0.48
2016-08-01,0.6858683677369553,9,-0.58
2016-09-01,0.6390856496761477,9,-0.58
2016-10-01,0.6105156433060857,9,-0.74
