Event,Target_month,Lead,Initialization_month,Model,Path,Expected_S,Actual_S,Available_L_count,Usable,Reason
1997/98,1997-12,1,1997-11,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_199711.nc,454,454.0,12,True,usable
1997/98,1997-12,1,1997-11,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_199711.nc,454,454.0,9,True,usable
1997/98,1997-12,1,1997-11,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_199711.nc,454,454.0,12,True,usable
1997/98,1997-12,1,1997-11,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_199711.nc,454,454.0,10,True,usable
1997/98,1997-12,2,1997-10,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_199710.nc,453,453.0,12,True,usable
1997/98,1997-12,2,1997-10,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_199710.nc,453,453.0,9,True,usable
1997/98,1997-12,2,1997-10,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_199710.nc,453,453.0,12,True,usable
1997/98,1997-12,2,1997-10,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_199710.nc,453,453.0,10,True,usable
1997/98,1997-12,3,1997-09,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_199709.nc,452,452.0,12,True,usable
1997/98,1997-12,3,1997-09,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_199709.nc,452,452.0,9,True,usable
1997/98,1997-12,3,1997-09,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_199709.nc,452,452.0,12,True,usable
1997/98,1997-12,3,1997-09,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_199709.nc,452,452.0,10,True,usable
