Year,Series,MHW_activity_C_days
1991,North Pacific,9.40267083572631
1992,North Pacific,14.171667984056834
1993,North Pacific,5.067950628100274
1994,North Pacific,5.959840931443121
1995,North Pacific,4.338253468182977
1996,North Pacific,9.058752950904545
1997,North Pacific,42.471334795665115
1998,North Pacific,30.417312354586244
1999,North Pacific,9.71480924306583
2000,North Pacific,8.021440806103284
2001,North Pacific,6.53404870734312
2002,North Pacific,6.3670003228560414
2003,North Pacific,5.628186565251012
2004,North Pacific,10.053114941811517
2005,North Pacific,6.317181067148501
2006,North Pacific,4.289255406240718
2007,North Pacific,5.724022509705953
2008,North Pacific,8.718278009222612
2009,North Pacific,11.310667955826688
2010,North Pacific,11.618880386033462
2011,North Pacific,11.546981916457305
2012,North Pacific,7.431609113380865
2013,North Pacific,10.030756246403472
2014,North Pacific,41.08932718422665
2015,North Pacific,102.43545869026184
2016,North Pacific,59.214408127222825
2017,North Pacific,35.31518748084892
2018,North Pacific,40.20880319823089
2019,North Pacific,58.41462015744479
2020,North Pacific,51.79068270347493
2021,North Pacific,36.93726032753983
2022,North Pacific,57.82988874140287
2023,North Pacific,83.77004594388502
2024,North Pacific,88.79041543979137
1991,South Pacific,4.216058958246838
1992,South Pacific,18.242861399205804
1993,South Pacific,6.494288375444444
1994,South Pacific,2.7167061255858145
1995,South Pacific,1.7917979944265687
1996,South Pacific,1.6516602309510426
1997,South Pacific,56.452763165276316
1998,South Pacific,57.28402030359713
1999,South Pacific,5.6727071919462295
2000,South Pacific,3.6569577934160646
2001,South Pacific,13.384669005861179
2002,South Pacific,19.10956342597055
2003,South Pacific,3.146543525572235
2004,South Pacific,3.866698017966813
2005,South Pacific,5.9522150597626124
2006,South Pacific,7.133785044473972
2007,South Pacific,3.6297578709720772
2008,South Pacific,5.822509727420055
2009,South Pacific,12.772551085220975
2010,South Pacific,19.33699544292209
2011,South Pacific,9.433724861462617
2012,South Pacific,2.832530562216576
2013,South Pacific,5.995077806336539
2014,South Pacific,4.30755485521788
2015,South Pacific,37.27465234714474
2016,South Pacific,58.397750353460545
2017,South Pacific,28.145901809442773
2018,South Pacific,17.929459951132344
2019,South Pacific,21.756443161668148
2020,South Pacific,17.174994400863795
2021,South Pacific,18.946450043706566
2022,South Pacific,40.64910269470027
2023,South Pacific,54.100402091796106
2024,South Pacific,44.61014415466944
1991,Indian Ocean,2.3770822673084213
1992,Indian Ocean,4.165832102632754
1993,Indian Ocean,2.671705511385518
1994,Indian Ocean,1.8837273561984926
1995,Indian Ocean,1.522444982416627
1996,Indian Ocean,3.657486149174757
1997,Indian Ocean,10.51565082032589
1998,Indian Ocean,30.25463903729394
1999,Indian Ocean,5.088818610090698
2000,Indian Ocean,5.359970790086117
2001,Indian Ocean,3.882927031614373
2002,Indian Ocean,5.3215014530914635
2003,Indian Ocean,4.365884188052889
2004,Indian Ocean,2.1852762670792494
2005,Indian Ocean,3.2484022296158104
2006,Indian Ocean,3.7054191893777526
2007,Indian Ocean,2.904134136300666
2008,Indian Ocean,2.4855518192678856
2009,Indian Ocean,5.137893779503947
2010,Indian Ocean,25.927783865154602
2011,Indian Ocean,17.508775174814925
2012,Indian Ocean,14.754942943871841
2013,Indian Ocean,5.646611948372447
2014,Indian Ocean,10.041062042673055
2015,Indian Ocean,41.214531375266105
2016,Indian Ocean,44.03040458403781
2017,Indian Ocean,21.27791963464987
2018,Indian Ocean,8.512738290680332
2019,Indian Ocean,34.63742854347065
2020,Indian Ocean,33.185289438884915
2021,Indian Ocean,8.57683295376422
2022,Indian Ocean,15.089016675999009
2023,Indian Ocean,48.90374263100141
2024,Indian Ocean,91.20930447331709
1991,North Atlantic,2.289082171225032
1992,North Atlantic,0.4389387221155305
1993,North Atlantic,0.2675662505684129
1994,North Atlantic,3.3555723823180763
1995,North Atlantic,13.692422745895
1996,North Atlantic,0.5762521449185459
1997,North Atlantic,6.044735865315678
1998,North Atlantic,16.96395465612841
1999,North Atlantic,6.773675492418174
2000,North Atlantic,10.780406839648416
