Event,Lead,Basin,AUC,Local_ocean_pattern_error,Valid_months,Local_share
1997/98,1,North Pacific,0.8742608492586624,0.3033430178960165,12,0.525915410050999
1997/98,1,South Pacific,0.9192225612682475,0.17265591522057855,12,0.6302828771679735
1997/98,1,Indian Ocean,0.746081056055346,0.5732476115226746,12,0.5792524244460346
1997/98,1,North Atlantic,0.71033560400177,0.6606188615163167,11,0.5600817821547758
1997/98,1,Tropical Atlantic,0.7952149553263275,0.6373422580460708,12,0.6708542968317744
1997/98,1,South Atlantic,0.6977415847807115,0.5644886679947376,12,0.6231632363433772
1997/98,3,North Pacific,0.8664628236509339,0.3359930838147799,12,0.525915410050999
1997/98,3,South Pacific,0.9030035754017662,0.227554053068161,12,0.6302828771679735
1997/98,3,Indian Ocean,0.7044012429451708,0.6564117359618347,12,0.5792524244460346
1997/98,3,North Atlantic,0.7271721625482599,0.7227763294552763,11,0.5600817821547758
1997/98,3,Tropical Atlantic,0.7768422005549741,0.7115849203740556,12,0.6708542968317744
1997/98,3,South Atlantic,0.6350043843017176,0.6841366309672594,12,0.6231632363433772
1997/98,6,North Pacific,0.8412039374084989,0.37936469043294585,12,0.525915410050999
1997/98,6,South Pacific,0.8777038847632245,0.2862429966529211,12,0.6302828771679735
1997/98,6,Indian Ocean,0.7014332869744133,0.6589511123796303,12,0.5792524244460346
1997/98,6,North Atlantic,0.7454989662986352,0.6940680037563045,11,0.5600817821547758
1997/98,6,Tropical Atlantic,0.7391330580074431,0.7663464973059794,12,0.6708542968317744
1997/98,6,South Atlantic,0.6050635818215956,0.7166276841113965,12,0.6231632363433772
1997/98,9,North Pacific,0.8220135578011637,0.4619077406823635,12,0.525915410050999
1997/98,9,South Pacific,0.8830538006795391,0.2993602355321249,12,0.6302828771679735
1997/98,9,Indian Ocean,0.6908850110390432,0.6905743703246117,12,0.5792524244460346
1997/98,9,North Atlantic,0.7619707589166391,0.7467448090513547,11,0.5600817821547758
1997/98,9,Tropical Atlantic,0.7360105486491147,0.7654414679855108,12,0.6708542968317744
1997/98,9,South Atlantic,0.5720821105421701,0.7348017835368712,12,0.6231632363433772
2015/16,1,North Pacific,0.8728309398139452,0.34226920207341516,12,0.525915410050999
2015/16,1,South Pacific,0.881506911767861,0.26323737700780236,12,0.6302828771679735
2015/16,1,Indian Ocean,0.7906246623071765,0.5900399337212245,12,0.5792524244460346
2015/16,1,North Atlantic,0.8229070810016567,0.3893858268857002,12,0.5600817821547758
2015/16,1,Tropical Atlantic,0.6214660420326099,0.9315019122635325,12,0.6708542968317744
2015/16,1,South Atlantic,0.6931990420305066,0.5753988189001877,12,0.6231632363433772
2015/16,3,North Pacific,0.847105246710631,0.3906504511833191,12,0.525915410050999
2015/16,3,South Pacific,0.848669342285195,0.34631800651550293,12,0.6302828771679735
2015/16,3,Indian Ocean,0.702210921986171,0.7309698158254225,12,0.5792524244460346
2015/16,3,North Atlantic,0.7191047357957435,0.5030590146780014,12,0.5600817821547758
2015/16,3,Tropical Atlantic,0.5409874293630152,1.017718336932982,12,0.6708542968317744
2015/16,3,South Atlantic,0.6336129262415076,0.6636728974990547,12,0.6231632363433772
2015/16,6,North Pacific,0.8362371087772963,0.39248802761236823,12,0.525915410050999
2015/16,6,South Pacific,0.8223105191922094,0.4040737673640251,12,0.6302828771679735
2015/16,6,Indian Ocean,0.667371446349271,0.7711253302792708,12,0.5792524244460346
2015/16,6,North Atlantic,0.6390856020884413,0.614417760943373,12,0.5600817821547758
2015/16,6,Tropical Atlantic,0.5273526466972359,1.0458230586179222,12,0.6708542968317744
2015/16,6,South Atlantic,0.6017757818696879,0.7465443006561447,12,0.6231632363433772
2015/16,9,North Pacific,0.8099522733754735,0.4969486345847448,12,0.525915410050999
2015/16,9,South Pacific,0.7666032075776229,0.5403584539890289,12,0.6302828771679735
2015/16,9,Indian Ocean,0.5631451779657146,0.929705063191553,12,0.5792524244460346
2015/16,9,North Atlantic,0.5067038640520535,0.8544146361916015,12,0.5600817821547758
2015/16,9,Tropical Atlantic,0.48827216383173333,1.105466677652051,12,0.6708542968317744
2015/16,9,South Atlantic,0.48833796781269245,0.894354586644719,12,0.6231632363433772
2023/24,1,North Pacific,0.7260163508613492,0.6466069382925828,12,0.525915410050999
2023/24,1,South Pacific,0.8260635412805996,0.35126721362272895,12,0.6302828771679735
2023/24,1,Indian Ocean,0.7620740902822626,0.5946950986981392,12,0.5792524244460346
2023/24,1,North Atlantic,0.7171886107375874,0.6968453217608233,12,0.5600817821547758
2023/24,1,Tropical Atlantic,0.7036553174263315,0.78440106427297,12,0.6708542968317744
2023/24,1,South Atlantic,0.7171296117067719,0.5616550122698147,12,0.6231632363433772
2023/24,3,North Pacific,0.6623375303276402,0.7307116600374381,12,0.525915410050999
2023/24,3,South Pacific,0.7622973135188897,0.4518098135789236,12,0.6302828771679735
2023/24,3,Indian Ocean,0.6848315796308327,0.7232643111298482,12,0.5792524244460346
2023/24,3,North Atlantic,0.6628030365308952,0.8231158517301083,12,0.5600817821547758
2023/24,3,Tropical Atlantic,0.48620448472115924,0.8527780128642917,12,0.6708542968317744
2023/24,3,South Atlantic,0.6460572553462803,0.6800350192934275,12,0.6231632363433772
2023/24,6,North Pacific,0.6147955482129369,0.7973074613837525,12,0.525915410050999
2023/24,6,South Pacific,0.730082510373319,0.4965150604645411,12,0.6302828771679735
2023/24,6,Indian Ocean,0.6116526347948075,0.8392221569083631,12,0.5792524244460346
2023/24,6,North Atlantic,0.6292434506095659,0.9280931445246097,12,0.5600817821547758
2023/24,6,Tropical Atlantic,0.3291807715306663,0.9204406190353135,12,0.6708542968317744
2023/24,6,South Atlantic,0.6016521475586752,0.7040560021996498,12,0.6231632363433772
2023/24,9,North Pacific,0.572251723504691,0.8642248980080088,12,0.525915410050999
2023/24,9,South Pacific,0.6106092244811073,0.7007679560532172,12,0.6302828771679735
2023/24,9,Indian Ocean,0.5707606177523313,0.9123116945847869,12,0.5792524244460346
2023/24,9,North Atlantic,0.5708268165633275,0.9892526312420765,12,0.5600817821547758
2023/24,9,Tropical Atlantic,0.24511722741473627,1.0349946388353903,12,0.6708542968317744
2023/24,9,South Atlantic,0.643157265603081,0.6642191422482331,12,0.6231632363433772
