Event,Lead,Bridge,Pattern_skill,Convection_skill,Source_skill,AUC,Remote_predictable_component,Local_error
1997/98,1,PNA (N. Pacific),0.891537350964346,0.6450996217347664,0.6162502956582435,0.8528790031895249,0.5494101561221455,0.3549003782652336
1997/98,1,PSA (S. Pacific),0.8652209933250115,0.7643082848085975,0.6162502956582435,0.8528790031895249,0.5331926929462575,0.23569171519140253
1997/98,1,Indian bridge,0.9782563947917089,0.7106974590056835,0.6162502956582435,0.8528790031895249,0.602850792519958,0.2893025409943165
1997/98,1,Atlantic bridge,0.8105427541463932,0.5728165614323407,0.6162502956582435,0.8528790031895249,0.4994972118863618,0.4271834385676593
2015/16,1,PNA (N. Pacific),0.9215982683419769,0.6365222052968562,0.459788980145735,0.832824659829471,0.423740727905033,0.3634777947031438
2015/16,1,PSA (S. Pacific),0.9106585989488348,0.5277488644895922,0.459788980145735,0.832824659829471,0.4187107884716287,0.47225113551040776
2015/16,1,Indian bridge,0.9648903980551087,0.5614728842406972,0.459788980145735,0.832824659829471,0.4436459720741707,0.4385271157593028
2015/16,1,Atlantic bridge,0.8414780382635811,0.5593249165806538,0.459788980145735,0.832824659829471,0.38690232902824573,0.44067508341934625
2023/24,1,PNA (N. Pacific),0.8354330555832629,0.4651784265312929,0.1097017416355675,0.6174641227463974,0.09164846121740781,0.5348215734687072
2023/24,1,PSA (S. Pacific),0.8237374350106283,0.2604894646928186,0.1097017416355675,0.6174641227463974,0.09036543127108103,0.7395105353071814
2023/24,1,Indian bridge,0.4406809278099048,0.49628742880127935,0.1097017416355675,0.6174641227463974,0.048343465286324355,0.5037125711987207
2023/24,1,Atlantic bridge,0.9100856598152907,0.08407238037312247,0.1097017416355675,0.6174641227463974,0.099837981919292,0.9159276196268775
1997/98,3,PNA (N. Pacific),0.9029775264886822,0.6622703808901933,0.6035564865121498,0.8256415856589245,0.5449979432869407,0.3377296191098067
1997/98,3,PSA (S. Pacific),0.8231035938940078,0.6493607445454247,0.6035564865121498,0.8256415856589245,0.4967895131661907,0.3506392554545753
1997/98,3,Indian bridge,0.9702866759638713,0.48365062990052005,0.6035564865121498,0.8256415856589245,0.585622817054307,0.5163493700994799
1997/98,3,Atlantic bridge,0.6155611372663039,0.26691318271967274,0.6035564865121498,0.8256415856589245,0.3715259172418735,0.7330868172803273
2015/16,3,PNA (N. Pacific),0.8877289460786446,0.31722019522077977,0.4410332221331782,0.7753734985457594,0.39151795746995505,0.6827798047792202
2015/16,3,PSA (S. Pacific),0.7536142147558706,0.409126397653151,0.4410332221331782,0.7753734985457594,0.33236890537914654,0.590873602346849
2015/16,3,Indian bridge,0.8582496611982263,0.36007657879532623,0.4410332221331782,0.7753734985457594,0.3785166134729623,0.6399234212046738
2015/16,3,Atlantic bridge,0.4465322015965668,0.48424428653453394,0.4410332221331782,0.7753734985457594,0.19693553565635577,0.515755713465466
2023/24,3,PNA (N. Pacific),0.4665875055196117,0.15316413996337372,0.1741326627730366,0.5715818452851452,0.0812481247527589,0.8468358600366263
2023/24,3,PSA (S. Pacific),0.3945134491076113,0.09386033791732865,0.1741326627730366,0.5715818452851452,0.06869767739288322,0.9061396620826714
2023/24,3,Indian bridge,0.6749442960701764,0.5869672911046403,0.1741326627730366,0.5715818452851452,0.1175298474981726,0.4130327088953597
2023/24,3,Atlantic bridge,0.698477909774844,-0.4054225887530788,0.1741326627730366,0.5715818452851452,0.1216278183172384,1.405422588753079
1997/98,6,PNA (N. Pacific),0.8539737039349037,0.547510316570778,0.5621222428507727,0.8037944313818749,0.4800376137914698,0.452489683429222
1997/98,6,PSA (S. Pacific),0.802140694699836,0.6148726955542843,0.5621222428507727,0.8037944313818749,0.4509011263865487,0.38512730444571575
1997/98,6,Indian bridge,0.9529522874622173,0.1462458724751801,0.5621222428507727,0.8037944313818749,0.5356756771580359,0.8537541275248199
1997/98,6,Atlantic bridge,0.48738216326903844,0.18595415119641456,0.5621222428507727,0.8037944313818749,0.2739683547422534,0.8140458488035854
2015/16,6,PNA (N. Pacific),0.8376966574811889,0.2712958799730878,0.4672450263618699,0.7396143648964681,0.3914095968080484,0.7287041200269122
