time,RMSE,leads,Nino34
1991-01-01,0.5283938679825927,9,0.49
1991-02-01,0.5000681331535135,9,0.32
1991-03-01,0.5599849335404357,9,0.03
1991-04-01,0.29599155871091004,9,0.19
1991-05-01,0.2907514713287906,9,0.26
1991-06-01,0.22674100749836532,9,0.52
1991-07-01,0.1584595915023175,9,0.76
1991-08-01,0.1613400340691396,9,0.68
1991-09-01,0.23901026586678423,9,0.42
1991-10-01,0.2208176948146081,9,0.86
1991-11-01,0.22925280480255414,9,1.2
1991-12-01,0.27100002779202603,9,1.69
1992-01-01,0.4613111611263637,9,1.84
1992-02-01,0.4884658451798521,9,1.78
1992-03-01,0.4030404335735252,9,1.38
1992-04-01,0.4018582007023394,9,1.2
1992-05-01,0.34443003363613967,9,1.04
1992-06-01,0.3026626880432714,9,0.58
1992-07-01,0.23324319068398325,9,0.22
1992-08-01,0.24563638249839823,9,0.05
1992-09-01,0.25220980843923196,9,-0.06
1992-10-01,0.48711413119633706,9,-0.3
1992-11-01,0.3315580653145228,9,-0.28
1992-12-01,0.2562381610544234,9,-0.15
1993-01-01,0.32485427364638986,9,0.14
1993-02-01,0.40983961735552416,9,0.41
1993-03-01,0.3290230536331429,9,0.39
1993-04-01,0.27455866795992295,9,0.59
1993-05-01,0.2703588539713859,9,0.78
1993-06-01,0.1996528251791216,9,0.35
1993-07-01,0.22576796312828248,9,0.23
1993-08-01,0.273543708471415,9,0.13
1993-09-01,0.3901064108513035,9,0.35
1993-10-01,0.3017769225748292,9,0.06
1993-11-01,0.2727225639192854,9,0.0
1993-12-01,0.31396837304387853,9,0.16
1994-01-01,0.3266516859834895,9,0.1
1994-02-01,0.2611548744473997,9,0.06
1994-03-01,0.22825248780817228,9,0.11
1994-04-01,0.2716895590961355,9,0.26
1994-05-01,0.3055393878450824,9,0.31
1994-06-01,0.17529467973103005,9,0.32
1994-07-01,0.23906000316044684,9,0.24
1994-08-01,0.24140601155832045,9,0.53
1994-09-01,0.21912834122505676,9,0.48
1994-10-01,0.2752616802999395,9,0.75
1994-11-01,0.2446711437061568,9,1.11
1994-12-01,0.3690335757321946,9,1.25
1995-01-01,0.38828094912093586,9,1.02
1995-02-01,0.29598117609484526,9,0.73
1995-03-01,0.2453954041018873,9,0.46
1995-04-01,0.21336751548856767,9,0.28
1995-05-01,0.4108927335746579,9,-0.11
1995-06-01,0.2743916935920686,9,-0.14
1995-07-01,0.49241472155952554,9,-0.21
