Event_Label,Lead,Lead_Label,Peak_Season,Pattern_Correlation,Member_Count,Source_Count
1997/98,1,lead01,1997-12 to 1998-02,0.6162502956582435,159,12
1997/98,3,lead03,1997-12 to 1998-02,0.6035564865121498,159,12
1997/98,6,lead06,1997-12 to 1998-02,0.5621222428507727,159,12
1997/98,9,lead09,1997-12 to 1998-02,0.5784594332585644,159,12
2015/16,1,lead01,2015-12 to 2016-02,0.459788980145735,183,12
2015/16,3,lead03,2015-12 to 2016-02,0.4410332221331782,183,12
2015/16,6,lead06,2015-12 to 2016-02,0.4672450263618699,183,12
2015/16,9,lead09,2015-12 to 2016-02,0.4941689746329718,183,12
2023/24,1,lead01,2023-12 to 2024-02,0.1097017416355675,246,12
2023/24,3,lead03,2023-12 to 2024-02,0.1741326627730366,246,12
2023/24,6,lead06,2023-12 to 2024-02,0.2077259138781402,246,12
2023/24,9,lead09,2023-12 to 2024-02,0.1525381328457886,246,12
