Group,Metric,Value,Group_event_count,Overall_mean_error,Relative_to_overall_mean_percent
Comparable events,Nino3.4 peak intensity error (C),0.0936721563339233,2,0.3113583177328109,-69.91499793035652
Comparable events,Peak timing error (months),0.5,2,0.8333333333333334,-40.0
Comparable events,SST pattern error (1-r),0.0990279300872448,2,0.1565620126522655,-36.74843059970596
Comparable events,Wind-stress pattern error (1-r),0.2725545499502258,2,0.386401653814127,-29.46341009157941
Comparable events,Convection pattern error* (1-r),0.2134418431144248,2,0.3103407072602182,-31.223381876404776
2023/24,Nino3.4 peak intensity error (C),0.7467306405305862,1,0.3113583177328109,139.82999586071307
2023/24,Peak timing error (months),1.5,1,0.8333333333333334,79.99999999999999
2023/24,SST pattern error (1-r),0.2716301777823068,1,0.1565620126522655,73.4968611994119
2023/24,Wind-stress pattern error (1-r),0.6140958615419294,1,0.386401653814127,58.92682018315879
2023/24,Convection pattern error* (1-r),0.5041384355518048,1,0.3103407072602182,62.44676375280952
