Reference_events,Included_leads,Pacific_source_signal_percent,Atmospheric_pathway_percent,Regional_process_signal_percent,Not_accounted_for_percent,Is_primary_definition
1997/98+2015/16,"1,3,6,9",30.515226220514073,21.947200042466644,23.297027019310118,24.240546717709144,True
1997/98+2015/16,"3,6,9",26.464755062863144,26.49401381603491,22.80068440339278,24.240546717709144,False
1997/98+2015/16,"1,6,9",29.781578656996277,25.51394387849102,20.46393074680354,24.240546717709144,False
1997/98+2015/16,"1,3,9",33.993899516295045,17.23284362375179,24.532710142244003,24.240546717709144,False
1997/98+2015/16,"1,3,6",32.913851900084204,16.75267214390636,26.09292923830028,24.240546717709144,False
1997/98,"1,3,6,9",31.070621442839254,24.7124153423147,19.97641649713689,24.240546717709144,False
1997/98,"3,6,9",26.668437085605923,30.02363861021186,19.067377586473057,24.240546717709144,False
1997/98,"1,6,9",29.96494567292048,27.990688357791772,17.803819251578584,24.240546717709144,False
1997/98,"1,3,9",34.425401701874655,20.408334587044717,20.925716993371463,24.240546717709144,False
1997/98,"1,3,6",34.4853826689676,18.466819293017426,22.807251320305816,24.240546717709144,False
2015/16,"1,3,6,9",29.78950335866787,18.250901455214564,27.719048468408413,24.240546717709144,False
2015/16,"3,6,9",26.213638386802725,21.685600918330053,27.86021397715806,24.240546717709144,False
2015/16,"1,6,9",29.552262245770088,22.152498721604474,24.054692314916274,24.240546717709144,False
2015/16,"1,3,9",32.35870544720711,15.252654337923655,28.148093497160076,24.240546717709144,False
2015/16,"1,3,6",30.50399972270208,15.618017017023117,29.63743654256564,24.240546717709144,False
