Event,Lead,Basin,Bridge,AUC,Source_error,Teleconnection_error,Local_ocean_pattern_error,Expected_AUC,Cross_validated_baseline_AUC,Cross_validated_AUC,Observed_skill_loss,Diagnosed_skill_loss
1997/98,1,Indian Ocean,Indian bridge,0.746081056055346,0.3837497043417565,0.021743605208291217,0.5732476115226746,0.7906246623071765,0.7682773727023079,0.8130270670481186,0.044543606251830514,-0.022402404740942017
1997/98,3,Indian Ocean,Indian bridge,0.7044012429451708,0.39644351348785023,0.029713324036128808,0.6564117359618347,0.702210921986171,0.6900740061364163,0.7497544489194932,-0.0021903209589998474,-0.0475435269333222
1997/98,6,Indian Ocean,Indian bridge,0.7014332869744133,0.4378777571492273,0.04704771253778284,0.6589511123796303,0.667371446349271,0.6412838699360957,0.7312457839179737,-0.03406184062514228,-0.06387433756870264
1997/98,9,Indian Ocean,Indian bridge,0.6908850110390432,0.4215405667414356,0.053096795592162405,0.6905743703246117,0.5631451779657146,0.5767003167594666,0.6977476410322095,-0.1277398330733286,-0.13460246306649493
1997/98,1,North Atlantic,Atlantic bridge,0.71033560400177,0.3837497043417565,0.1894572458536068,0.6606188615163167,0.8229070810016567,0.7576763809911453,0.7708221014029897,0.11257147699988668,0.05208497959866698
1997/98,3,North Atlantic,Atlantic bridge,0.7271721625482599,0.39644351348785023,0.3844388627336961,0.7227763294552763,0.7191047357957435,0.6794730144252538,0.7020882898821805,-0.008067426752516371,0.017016445913562994
1997/98,6,North Atlantic,Atlantic bridge,0.7454989662986352,0.4378777571492273,0.5126178367309616,0.6940680037563045,0.6390856020884413,0.6306828782249331,0.6857593077962532,-0.10641336421019387,-0.04667370570781182
1997/98,9,North Atlantic,Atlantic bridge,0.7619707589166391,0.4215405667414356,0.4362306815745004,0.7467448090513547,0.5067038640520535,0.5660993250483041,0.6512699551706873,-0.25526689486458565,-0.14456609111863383
1997/98,1,North Pacific,PNA (N. Pacific),0.8742608492586624,0.3837497043417565,0.10846264903565395,0.3033430178960165,0.8728309398139452,0.8418843215167321,0.8985421751508149,-0.0014299094447172145,-0.025711235336869698
1997/98,3,North Pacific,PNA (N. Pacific),0.8664628236509339,0.39644351348785023,0.09702247351131776,0.3359930838147799,0.847105246710631,0.7636809549508407,0.8510211478269673,-0.019357576940302823,-0.003915901116336218
1997/98,6,North Pacific,PNA (N. Pacific),0.8412039374084989,0.4378777571492273,0.14602629606509632,0.3793646904329458,0.8362371087772963,0.7148908187505199,0.8187960374677056,-0.004966828631202569,0.017441071309590717
1997/98,9,North Pacific,PNA (N. Pacific),0.8220135578011637,0.4215405667414356,0.14678899269785162,0.4619077406823635,0.8099522733754735,0.6503072655738908,0.7709499741555699,-0.01206128442569021,0.03900229921990361
1997/98,1,South Atlantic,Atlantic bridge,0.6977415847807115,0.3837497043417565,0.1894572458536068,0.5644886679947376,0.6931990420305066,0.7273087310898871,0.7570382241848097,-0.0045425427502048255,-0.06383918215430306
1997/98,3,South Atlantic,Atlantic bridge,0.6350043843017176,0.39644351348785023,0.3844388627336961,0.6841366309672594,0.6336129262415076,0.6491053645239956,0.6717375402518837,-0.0013914580602100157,-0.038124614010376146
1997/98,6,South Atlantic,Atlantic bridge,0.6050635818215956,0.4378777571492273,0.5126178367309616,0.7166276841113965,0.6017757818696879,0.6003152283236749,0.637772907257007,-0.003287799951907644,-0.03599712538731903
1997/98,9,South Atlantic,Atlantic bridge,0.5720821105421701,0.4215405667414356,0.4362306815745004,0.7348017835368712,0.4883379678126924,0.5357316751470459,0.6132261012329334,-0.08374414272947767,-0.12488813342024102
1997/98,1,South Pacific,PSA (S. Pacific),0.9192225612682476,0.3837497043417565,0.13477900667498854,0.1726559152205785,0.881506911767861,0.8802113026283374,0.9442849159968387,-0.03771564950038664,-0.06277800422897772
1997/98,3,South Pacific,PSA (S. Pacific),0.9030035754017662,0.39644351348785023,0.17689640610599222,0.227554053068161,0.848669342285195,0.8020079360624458,0.8870550994754274,-0.05433423311657126,-0.038385757190232406
1997/98,6,South Pacific,PSA (S. Pacific),0.8777038847632245,0.4378777571492273,0.19785930530016405,0.2862429966529211,0.8223105191922094,0.753217799862125,0.8521425602205517,-0.05539336557101504,-0.02983204102834225
1997/98,9,South Pacific,PSA (S. Pacific),0.8830538006795391,0.4215405667414356,0.21304492901840233,0.2993602355321249,0.7666032075776229,0.6886342466854961,0.8234146927754786,-0.11645059310191619,-0.05681148519785573
1997/98,1,Tropical Atlantic,Atlantic bridge,0.7952149553263275,0.3837497043417565,0.1894572458536068,0.6373422580460708,0.6214660420326099,0.5919729916959225,0.6800692947953293,-0.17374891329371756,-0.05860325276271938
1997/98,3,Tropical Atlantic,Atlantic bridge,0.7768422005549741,0.39644351348785023,0.3844388627336961,0.7115849203740556,0.5409874293630152,0.513769625130031,0.6078529271858705,-0.23585477119195886,-0.06686549782285522
1997/98,6,Tropical Atlantic,Atlantic bridge,0.7391330580074431,0.4378777571492273,0.5126178367309616,0.7663464973059794,0.5273526466972359,0.46497948892971025,0.5674706607034429,-0.2117804113102072,-0.04011801400620696
1997/98,9,Tropical Atlantic,Atlantic bridge,0.7360105486491147,0.4215405667414356,0.4362306815745004,0.7654414679855108,0.4882721638317333,0.4003959357530813,0.5484218329361902,-0.24773838481738147,-0.060149669104456904
2015/16,1,Indian Ocean,Indian bridge,0.7906246623071765,0.540211019854265,0.03510960194489121,0.5900399337212245,0.746081056055346,0.7540597809379987,0.7654311379715236,-0.044543606251830514,-0.019350081916177597
2015/16,3,Indian Ocean,Indian bridge,0.702210921986171,0.5589667778668218,0.14175033880177368,0.7309698158254225,0.7044012429451708,0.697595902312378,0.6779181466614601,0.0021903209589998474,0.026483096283710705
2015/16,6,Indian Ocean,Indian bridge,0.667371446349271,0.5327549736381301,0.11667806951154114,0.7711253302792708,0.7014332869744133,0.6566980847186498,0.659398631252307,0.03406184062514228,0.042034655722106296
2015/16,9,Indian Ocean,Indian bridge,0.5631451779657146,0.5058310253670282,0.13814271124870625,0.929705063191553,0.6908850110390432,0.6277059917680801,0.5672633001461631,0.1277398330733286,0.1236217108928801
2015/16,1,North Atlantic,Atlantic bridge,0.8229070810016567,0.540211019854265,0.15852196173641886,0.3893858268857002,0.71033560400177,0.7606747667795573,0.9471958054304933,-0.11257147699988668,-0.23686020142872333
2015/16,3,North Atlantic,Atlantic bridge,0.7191047357957435,0.5589667778668218,0.5534677984034332,0.5030590146780014,0.7271721625482599,0.7042108881539365,0.8613976668531128,0.008067426752516371,-0.13422550430485292
2015/16,6,North Atlantic,Atlantic bridge,0.6390856020884413,0.5327549736381301,0.8206655321387286,0.614417760943373,0.7454989662986352,0.6633130705602083,0.7826289392424431,0.10641336421019387,-0.03712997294380793
2015/16,9,North Atlantic,Atlantic bridge,0.5067038640520535,0.5058310253670282,0.9711686502546518,0.8544146361916015,0.7619707589166391,0.6343209776096386,0.632546252179341,0.25526689486458565,0.1294245067372981
2015/16,1,North Pacific,PNA (N. Pacific),0.8728309398139452,0.540211019854265,0.07840173165802322,0.3422692020734151,0.8742608492586624,0.817462631131957,0.8872222807156873,0.0014299094447172145,-0.012961431457024886
2015/16,3,North Pacific,PNA (N. Pacific),0.847105246710631,0.5589667778668218,0.11227105392135539,0.3906504511833191,0.8664628236509339,0.7609987525063364,0.861636482773722,0.019357576940302823,0.004826340877211899
2015/16,6,North Pacific,PNA (N. Pacific),0.8362371087772963,0.5327549736381301,0.16230334251881107,0.3924880276123682,0.8412039374084989,0.7201009349126081,0.8631428078735359,0.004966828631202569,-0.021938870465037064
2015/16,9,North Pacific,PNA (N. Pacific),0.8099522733754735,0.5058310253670282,0.1795166855613085,0.4969486345847448,0.8220135578011637,0.6911088419620385,0.8051769524614201,0.01206128442569021,0.016836605339743627
2015/16,1,South Atlantic,Atlantic bridge,0.6931990420305066,0.540211019854265,0.15852196173641886,0.5753988189001877,0.6977415847807115,0.7097808337113478,0.7050420079641939,0.0045425427502048255,-0.007300423183482452
2015/16,3,South Atlantic,Atlantic bridge,0.6336129262415076,0.5589667778668218,0.5534677984034332,0.6636728974990547,0.6350043843017176,0.6533169550857271,0.6351737997946794,0.0013914580602100157,-0.0001694154929617886
2015/16,6,South Atlantic,Atlantic bridge,0.6017757818696879,0.5327549736381301,0.8206655321387286,0.7465443006561447,0.6050635818215956,0.6124191374919988,0.5742718953770545,0.003287799951907644,0.03079168644454111
2015/16,9,South Atlantic,Atlantic bridge,0.4883379678126924,0.5058310253670282,0.9711686502546518,0.894354586644719,0.5720821105421701,0.5834270445414291,0.48200721839693744,0.08374414272947767,0.09007489214523262
2015/16,1,South Pacific,PSA (S. Pacific),0.881506911767861,0.540211019854265,0.08934140105116517,0.2632373770078023,0.9192225612682476,0.8840493924745593,0.8906498165329093,0.03771564950038664,0.02857274473533833
2015/16,3,South Pacific,PSA (S. Pacific),0.848669342285195,0.5589667778668218,0.24638578524412935,0.3463180065155029,0.9030035754017662,0.8275855138489385,0.8367301177890412,0.05433423311657126,0.06627345761272507
2015/16,6,South Pacific,PSA (S. Pacific),0.8223105191922094,0.5327549736381301,0.29545418911239485,0.4040737673640251,0.8777038847632245,0.7866876962552103,0.8032168382430998,0.05539336557101504,0.07448704652012472
2015/16,9,South Pacific,PSA (S. Pacific),0.7666032075776229,0.5058310253670282,0.3776168788746562,0.5403584539890289,0.8830538006795391,0.7576956033046406,0.721826576331574,0.11645059310191619,0.1612272243479651
2015/16,1,Tropical Atlantic,Atlantic bridge,0.6214660420326099,0.540211019854265,0.15852196173641886,0.9315019122635324,0.7952149553263275,0.6714646614575664,0.534584685576489,0.17374891329371756,0.2606302697498385
2015/16,3,Tropical Atlantic,Atlantic bridge,0.5409874293630152,0.5589667778668218,0.5534677984034332,1.017718336932982,0.7768422005549741,0.6150007828319457,0.46600700628534797,0.23585477119195886,0.31083519426962614
2015/16,6,Tropical Atlantic,Atlantic bridge,0.5273526466972359,0.5327549736381301,0.8206655321387286,1.0458230586179222,0.7391330580074431,0.5741029652382175,0.4394539216580895,0.2117804113102072,0.2996791363493536
2015/16,9,Tropical Atlantic,Atlantic bridge,0.4882721638317333,0.5058310253670282,0.9711686502546518,1.105466677652051,0.7360105486491147,0.5451108722876478,0.4024860213555138,0.24773838481738147,0.33352452729360094
2023/24,1,Indian Ocean,Indian bridge,0.7620740902822626,0.8902982583644325,0.5593190721900951,0.5946950986981392,0.7683528591812613,0.7515690301748406,0.6325114242745967,0.006278768898998699,0.13584143490666456
2023/24,3,Indian Ocean,Indian bridge,0.6848315796308327,0.8258673372269634,0.32505570392982364,0.7232643111298482,0.703306082465671,0.7081678386865291,0.6288398252939633,0.018474502834838202,0.07446625717170763
2023/24,6,Indian Ocean,Indian bridge,0.6116526347948075,0.7922740861218598,0.7989268606820699,0.8392221569083631,0.6844023666618422,0.6831339077251013,0.5237395651953949,0.0727497318670347,0.1606628014664473
2023/24,9,Indian Ocean,Indian bridge,0.5707606177523313,0.8474618671542113,1.1636632813311463,0.9123116945847868,0.6270150945023789,0.6402056262246854,0.4369400263990204,0.05625447675004758,0.1900750681033585
2023/24,1,North Atlantic,Atlantic bridge,0.7171886107375874,0.8902982583644325,0.08991434018470923,0.6968453217608233,0.7666213425017133,0.7598972763099516,0.6931053375263673,0.04943273176412588,0.07351600497534605
2023/24,3,North Atlantic,Atlantic bridge,0.6628030365308952,0.8258673372269634,0.30152209022515597,0.8231158517301083,0.7231384491720017,0.7164960848216402,0.6302698491519166,0.06033541264110642,0.09286860002008501
2023/24,6,North Atlantic,Atlantic bridge,0.6292434506095659,0.7922740861218598,1.093052145138228,0.9280931445246096,0.6922922841935383,0.6914621538602124,0.48721527812868537,0.0630488335839724,0.2050770060648529
2023/24,9,North Atlantic,Atlantic bridge,0.5708268165633275,0.8474618671542113,1.1671771761162677,0.9892526312420764,0.6343373114843462,0.6485338723597964,0.4450096595836734,0.06351049492101879,0.18932765190067286
2023/24,1,North Pacific,PNA (N. Pacific),0.7260163508613492,0.8902982583644325,0.16456694441673714,0.6466069382925828,0.8735458945363038,0.9020582715716274,0.6802659375866009,0.14752954367495463,0.1932799569497029
2023/24,3,North Pacific,PNA (N. Pacific),0.6623375303276402,0.8258673372269634,0.5334124944803883,0.7307116600374381,0.8567840351807825,0.858657080083316,0.6151425287574094,0.1944465048531423,0.24164150642337312
2023/24,6,North Pacific,PNA (N. Pacific),0.6147955482129369,0.7922740861218598,0.4519426169193055,0.7973074613837525,0.8387205230928976,0.8336231491218882,0.6071911146671912,0.22392497487996066,0.23152940842570635
2023/24,9,North Pacific,PNA (N. Pacific),0.572251723504691,0.8474618671542113,0.4248300665680522,0.8642248980080088,0.8159829155883186,0.7906948676214722,0.5760670170171858,0.2437311920836276,0.23991589857113282
2023/24,1,South Atlantic,Atlantic bridge,0.7171296117067719,0.8902982583644325,0.08991434018470923,0.5616550122698147,0.695470313405609,0.6716521018971255,0.6877395682187526,-0.021659298301162866,0.007730745186856458
2023/24,3,South Atlantic,Atlantic bridge,0.6460572553462803,0.8258673372269634,0.30152209022515597,0.6800350192934275,0.6343086552716126,0.6282509104088141,0.6284484381718702,-0.011748600074667714,0.005860217099742382
2023/24,6,South Atlantic,Atlantic bridge,0.6016521475586752,0.7922740861218598,1.093052145138228,0.7040560021996498,0.6034196818456418,0.6032169794473863,0.5217587789672021,0.0017675342869665212,0.08166090287843963
2023/24,9,South Atlantic,Atlantic bridge,0.643157265603081,0.8474618671542113,1.1671771761162677,0.6642191422482331,0.5302100391774313,0.5602886979469703,0.5249198927458275,-0.1129472264256497,0.005290146431603748
2023/24,1,South Pacific,PSA (S. Pacific),0.8260635412805996,0.8902982583644325,0.17626256498937165,0.3512672136227289,0.9003647365180543,0.9185591548390102,0.8080540338609713,0.07430119523745471,0.09231070265708297
2023/24,3,South Pacific,PSA (S. Pacific),0.7622973135188897,0.8258673372269634,0.6054865508923887,0.4518098135789236,0.8758364588434806,0.8751579633506987,0.727395256137251,0.11353914532459086,0.14844120270622962
2023/24,6,South Pacific,PSA (S. Pacific),0.730082510373319,0.7922740861218598,0.8465161808611937,0.4965150604645411,0.850007201977717,0.8501240323892709,0.6857366905636069,0.119924691604398,0.1642705114141101
2023/24,9,South Pacific,PSA (S. Pacific),0.6106092244811073,0.8474618671542113,0.931432089870861,0.7007679560532172,0.824828504128581,0.807195750888855,0.577797822479963,0.21421927964747367,0.24703068164861797
2023/24,1,Tropical Atlantic,Atlantic bridge,0.7036553174263315,0.8902982583644325,0.08991434018470923,0.78440106427297,0.7083404986794687,0.7089598100298585,0.7036675058000704,0.004685181253137216,0.004672992879398263
2023/24,3,Tropical Atlantic,Atlantic bridge,0.4862044847211592,0.8258673372269634,0.30152209022515597,0.8527780128642917,0.6589148149589947,0.665558618541547,0.6668373403532061,0.17271033023783555,-0.007922525394211344
2023/24,6,Tropical Atlantic,Atlantic bridge,0.3291807715306663,0.7922740861218598,1.093052145138228,0.9204406190353136,0.6332428523523395,0.6405246875801193,0.5405442211608791,0.30406208082167313,0.09269863119146038
2023/24,9,Tropical Atlantic,Atlantic bridge,0.2451172274147362,0.8474618671542113,1.1671771761162677,1.0349946388353903,0.612141356240424,0.5975964060797032,0.47435421536029654,0.3670241288256878,0.13778714088012745
