Stage,Lead,Difference_2023_minus_canonical
Source SST pattern,1,-0.42831789626642175
Source SST pattern,3,-0.34816219154962735
Source SST pattern,6,-0.30695772072818106
Source SST pattern,9,-0.3837760710999795
Z200 teleconnection,1,-0.08847722565666583
Z200 teleconnection,3,-0.2879505396826614
Z200 teleconnection,6,-0.415716761765525
Z200 teleconnection,9,-0.4785510389932832
Global MHW AUC,1,-0.20091943121091116
Global MHW AUC,3,-0.197953119995107
Global MHW AUC,6,-0.1479805464092251
Global MHW AUC,9,-0.13138539755984813
