Method,Initialization,Target_Month,Lead_Month,NINO3.4,AUC,SEDI,BSS,Accuracy,CSI,BrS,RMSE,MHW_Intensity_Error_C,Observed_MHW_Intensity_RMSE_C,BrS_Reference,hits,misses,false_alarms,correct_negatives
NMME ensemble mean,1990-04,1990-05,1,0.1881847381591797,0.6220700644721682,0.3042503595352173,-1.332159705520556,0.9161394734702096,0.0750028742297528,0.0838605265297902,0.2083857611706446,0.1129935797452291,0.2083857611706446,0.0359583120878387,162.2884343266487,612.1357817053795,1389.338652968407,21702.94197410345
NMME ensemble mean,1990-04,1990-06,2,-0.0514583587646484,0.563535882113725,0.095030128955841,-2.923215533323153,0.844121324184575,0.0413526725554967,0.155878675815425,0.2534921361402834,0.1720948049339689,0.2534921361402834,0.0397323762845597,160.4810978770256,726.5362134575844,2993.7741335630417,19985.913398206238
NMME ensemble mean,1990-04,1990-07,3,0.2041034698486328,0.4694629102226264,0.0751236975193023,-3.367710117441762,0.8508280119178675,0.0327000305225941,0.1491719880821325,0.2081555098681659,0.3087583618729927,0.2081555098681659,0.0341533627624319,120.3557168841362,600.2207581400871,2960.023052275181,20186.10531580448
NMME ensemble mean,1990-04,1990-08,4,0.1525650024414062,0.5705070896982039,0.2923198938369751,-2.634519385138961,0.8553910305260917,0.0713135460639057,0.1446089694739083,0.2126235306997846,0.2720647985054267,0.2126235306997846,0.0397876456692442,265.0273016691208,623.6388822793961,2827.7007098197937,20150.33794933557
NMME ensemble mean,1990-04,1990-09,5,0.167510986328125,0.570675877646187,0.1635222434997558,-2.492081325038606,0.8401777134467825,0.0586192818471455,0.1598222865532175,0.2357398305837485,0.2614852755666377,0.2357398305837485,0.0457670574299842,237.52263194322583,829.5296215415001,2984.901718974113,19814.750870645046
NMME ensemble mean,1990-04,1990-10,6,0.230743408203125,0.5936726763645547,0.2220224291086197,-2.206012935364718,0.8436958314743144,0.0730666923243764,0.1563041685256856,0.276420066235089,0.2649357252912326,0.276420066235089,0.0487534428827575,294.0586657524109,862.087562918663,2868.3778930306435,19842.18072140217
NMME ensemble mean,1990-04,1990-11,7,0.0581626892089843,0.5985572384323955,0.2358260452747345,-2.945815295908332,0.8348340812670993,0.0640942698344225,0.1651659187329006,0.3540589539814327,0.2607239230189173,0.3540589539814327,0.0418585023237584,269.9603595137596,680.4864801168442,3261.479752421379,19654.778251051903
NMME ensemble mean,1990-04,1990-12,8,0.2891044616699219,0.5664933951250044,0.1678320318460464,-2.423856399060114,0.7831621748693451,0.0805130942203199,0.2168378251306548,0.3521362731641174,0.2090339184559423,0.3521362731641174,0.0633314601600053,453.15677094459534,1137.9010021686554,4037.3033690452576,18238.343700945377
NMME ensemble mean,1990-04,1991-01,9,0.6343975067138672,0.686315538068821,0.2091552913188934,-3.025301093946688,0.7503219140235253,0.0856455892165843,0.2496780859764747,0.7871551726126289,0.4783715940813032,0.7871551726126289,0.0620271826005623,558.1659325361252,993.9808311462402,4965.012352645397,17349.545726776123
NMME ensemble mean,1990-05,1990-06,1,-0.0514583587646484,0.5842552018479519,0.1298891752958297,-2.289243709091812,0.8693105312587432,0.0458246858910018,0.1306894687412567,0.2130847728383891,0.1680146371106516,0.2130847728383891,0.0397323762845597,149.79743432998657,737.2198770046234,2381.907099545002,20597.780432224277
